    time                      altitude                  longitude                 latitude                  mach                      alpha                     pMax                     duration                   dYC
    [s]                       [km]                      [deg]                     [deg]                     [-]                       [deg]                     [Pa]                     [s]                        [km]
   398.43000000000001        68.506000000000000       -94.665000000000006        27.898000000000000        20.379999999999999        14.085000000000001        6.7311424095677701        1.3008541611934796        183.25377329605996     
   400.95999999999998        68.721000000000004       -94.817999999999998        27.872000000000000        20.605000000000000        13.861000000000001        6.5787666451300923        1.2956977819319115        183.65160119535926     
   405.48000000000002        69.060000000000002       -95.093999999999994        27.824999999999999        21.010000000000002        13.196000000000000        6.2741296102776731        1.2732644201458299        184.28263309167914     
   409.31000000000000        69.305000000000007       -95.332999999999998        27.783999999999999        21.356000000000002        12.805999999999999        6.0858964153947150        1.2621115249279000        184.64644389232458     
   410.37000000000000        69.364999999999995       -95.399000000000001        27.773000000000000        21.452999999999999        12.738000000000000        6.0481435520941647        1.2609565921956005        184.73032992494294     
   412.91000000000003        69.500000000000000       -95.558999999999997        27.745000000000001        21.684999999999999        12.567000000000000        5.9590996704077872        1.2573206091287754        184.92312788177986     
   417.42000000000002        69.700999999999993       -95.847999999999999        27.693999999999999        22.100999999999999        12.121000000000000        5.7896539504011786        1.2434917403630432        185.22107152006382     
   421.25999999999999        69.834999999999994       -96.096999999999994        27.649999999999999        22.460000000000001        11.936999999999999        5.7149887698240160        1.2420970269251952        185.42738270499777     
   422.31000000000000        69.866000000000000       -96.165999999999997        27.638000000000002        22.559000000000001        11.912000000000001        5.7059975916660344        1.2435485559252235        185.47608997965315     
   423.98000000000002        69.911000000000001       -96.275999999999996        27.617999999999999        22.716999999999999        11.880000000000001        5.6892595063355911        1.2448453338092331        185.54750090818172     
   427.29000000000002        69.983999999999995       -96.495999999999995        27.579000000000001        23.032000000000000        11.798999999999999        5.6647221853993894        1.2474983414656198        185.66552293728762     
   430.94999999999999        70.042000000000002       -96.742999999999995        27.533999999999999        23.385999999999999        11.824999999999999        5.6796356495780262        1.2571962426963046        185.76210689477438     
   433.56999999999999        70.070999999999998       -96.921999999999997        27.501000000000001        23.643000000000001        11.888999999999999        5.7074714736217755        1.2665810867928009        185.81210207767487     
   434.25999999999999        70.076999999999998       -96.968999999999994        27.492999999999999        23.710000000000001        11.896000000000001        5.7142619207837013        1.2687546650021861        185.82270798837322     
   434.25999999999999        70.076999999999998       -96.968999999999994        27.492999999999999        23.710000000000001        11.896000000000001        5.7142619207837013        1.2687546650021861        185.82270798837322     
   440.47000000000003        70.100999999999999       -97.396000000000001        27.413000000000000        23.704000000000001        12.718000000000000        5.9110724911506312        1.3152621296619780        185.86017556723991     
   454.80000000000001        69.989000000000004       -98.378000000000000        27.227000000000000        23.655000000000001        16.567000000000000        6.8956579578994877        1.5191269143508457        185.68517309647643     
   476.45999999999998        69.640000000000001       -99.852999999999994        26.934000000000001        23.527000000000001        18.768999999999998        7.6419316254225551        1.6321196673857614        185.16145780974361     
   504.37000000000000        69.185000000000002       -101.73000000000000        26.536999999999999        23.349000000000000        18.398000000000000        7.8018312649186701        1.6003680297402265        184.52944040998818     
   537.13000000000000        68.697999999999993       -103.92000000000000        26.047000000000001        23.149000000000001        18.023000000000000        8.0264697715971263        1.5769884779127277        183.66840609827702     
   573.10000000000002        68.233999999999995       -106.28000000000000        25.478000000000002        22.934999999999999        17.991000000000000        8.3122567740883415        1.5678433841061097        182.72718876960505     
   610.48000000000002        67.924999999999997       -108.69000000000000        24.856999999999999        22.730000000000000        18.154000000000000        8.5662101655330396        1.5726383741769225        182.08146898966095     
   647.38000000000000        67.829999999999998       -111.04000000000001        24.213999999999999        22.553999999999998        18.119000000000000        8.5791542641667053        1.5620036630104908        181.88604765182504     
   681.97000000000003        67.826999999999998       -113.20000000000000        23.587000000000000        22.399999999999999        18.286000000000001        8.6095002519732091        1.5671509750736858        181.87691049516030     
   712.50000000000000        67.787000000000006       -115.08000000000000        23.015999999999998        22.262000000000000        18.007999999999999        8.5298615329315108        1.5472563368525492        181.79406842732334     
   737.44000000000005        67.629000000000005       -116.59999999999999        22.536999999999999        22.135999999999999        17.681000000000001        8.5341890556935667        1.5268007424568877        181.48005867728850     
   755.54999999999995        67.391999999999996       -117.69000000000000        22.183000000000000        22.032000000000000        16.794000000000000        8.4511644696786323        1.4809313721683326        181.02499072078763     
   765.91999999999996        67.189999999999998       -118.31000000000000        21.977000000000000        21.965000000000000        17.393999999999998        8.7500172075935723        1.5064572605257700        180.65159127064894     
   768.38000000000000        67.135999999999996       -118.45000000000000        21.928000000000001        21.946999999999999        17.452000000000002        8.8050054016453352        1.5087853970361789        180.55403165260918     
   776.83000000000004        66.941999999999993       -118.95999999999999        21.759000000000000        21.884000000000000        17.852000000000000        9.0570632976022978        1.5258840156696754        180.21170981048735     
   796.13000000000000        66.498999999999995       -120.09999999999999        21.370000000000001        21.731999999999999        18.302000000000000        9.5300249000568904        1.5448461145131489        179.44050835626373     
   824.90999999999997        65.971000000000004       -121.78000000000000        20.779000000000000        21.518999999999998        17.670000000000002        9.7042850387706086        1.5027184465096581        178.60546111611060     
   861.20000000000005        65.497000000000000       -123.87000000000000        20.018999999999998        21.280000000000001        17.334000000000000        9.9577983797328429        1.4799816661747545        177.95649280408739     
   902.52999999999997        65.186000000000007       -126.20000000000000        19.135000000000002        21.032000000000000        17.422999999999998        10.198245524020566        1.4755709206865031        177.58686398515883     
   946.09000000000003        65.096000000000004       -128.61000000000001        18.184999999999999        20.797999999999998        17.440999999999999        10.228688169957527        1.4685577155056790        177.48534445505626     
