86	7272.7944	-0.0006008	1.2221008	6453106.4	2.7438799	-0.1210529	15.1	0.520068	151119.6	626799.13	75254.556
88	7272.0392	-0.0006146	1.2223782	6453097.5	2.7446552	-0.1189345	15.1	0.5026147	151119.6	641343.96	75234.938
90	7271.2817	-0.0006257	1.2226492	6453088.5	2.7454298	-0.1168161	15.1	0.520068	151119.6	655887.28	75215.327
92	7270.5221	-0.0006391	1.2229227	6453079.3	2.7462034	-0.1146977	15.1	0.5041804	151119.6	670429.08	75195.725
94	7269.7603	-0.0006501	1.2231902	6453069.9	2.7469763	-0.1125793	15.1	0.5216337	151119.6	684969.36	75176.135
96	7268.9963	-0.0006634	1.2234604	6453060.4	2.7477483	-0.110461	15.1	0.5061701	151119.6	699508.11	75156.556
98	7268.2301	-0.0006742	1.2237245	6453050.7	2.7485194	-0.1083427	15.1	0.5236234	151119.6	714045.33	75136.99
100	7267.4617	-0.0006875	1.2239913	6453040.8	2.7492898	-0.1062243	15.1	0.5069017	151119.6	728581.02	75117.438
102	7266.6911	-0.0006981	1.2242518	6453030.7	2.7500593	-0.104106	15.1	0.524355	151119.6	743115.17	75097.901
104	7265.9182	-0.0007111	1.2245151	6453020.5	2.750828	-0.1019878	15.1	0.5112297	151119.6	757647.77	75078.383
106	7265.1431	-0.0007219	1.2247729	6453010.1	2.7515959	-0.0998695	15.1	0.528683	151119.6	772178.83	75058.88
108	7264.3658	-0.0007352	1.2250335	6452999.5	2.752363	-0.0977513	15.1	0.5112297	151119.6	786708.33	75039.391
110	7263.5863	-0.0007457	1.2252876	6452988.7	2.7531294	-0.0956331	15.1	0.528683	151119.6	801236.28	75019.919
112	7262.8046	-0.0007587	1.2255444	6452977.8	2.7538949	-0.0935149	15.1	0.511529	151119.6	815762.67	75000.467
114	7262.0206	-0.0007688	1.2257948	6452966.7	2.7546597	-0.0913967	15.1	0.5289822	151119.6	830287.49	74981.037
116	7261.2344	-0.0007815	1.226048	6452955.4	2.7554237	-0.0892786	15.1	0.5169874	151119.6	844810.74	74961.632
118	7260.4459	-0.0007921	1.2262961	6452944	2.7561869	-0.0871606	15.1	0.5344407	151119.6	859332.41	74942.248
120	7259.6552	-0.0008052	1.226547	6452932.4	2.7569494	-0.0850425	15.1	0.5169874	151119.6	873852.51	74922.882
122	7258.8622	-0.0008155	1.2267913	6452920.7	2.7577112	-0.0829245	15.1	0.5344407	151119.6	888371.02	74903.536
124	7258.067	-0.0008283	1.2270386	6452908.7	2.7584722	-0.0808066	15.1	0.5169874	151119.6	902887.94	74884.215
126	7257.2695	-0.0008382	1.2272792	6452896.6	2.7592325	-0.0786886	15.1	0.5344407	151119.6	917403.27	74864.918
128	7256.4698	-0.0008507	1.2275228	6452884.4	2.759992	-0.0765708	15.1	0.5195545	151119.6	931917	74845.652
130	7255.6678	-0.0008607	1.2277604	6452872	2.7607509	-0.074453	15.1	0.5370078	151119.6	946429.14	74826.412
132	7254.8635	-0.0008732	1.228001	6452859.4	2.761509	-0.0723352	15.1	0.5195545	151119.6	960939.66	74807.202
134	7254.057	-0.0008828	1.2282349	6452846.6	2.7622664	-0.0702175	15.1	0.5370078	151119.6	975448.57	74788.022
136	7253.2482	-0.0008951	1.2284718	6452833.7	2.7630232	-0.0680998	15.1	0.5245163	151119.6	989955.87	74768.876
138	7252.4371	-0.0009051	1.2287035	6452820.7	2.7637792	-0.0659822	15.1	0.5419696	151119.6	1004461.6	74749.759
140	7251.6238	-0.0009178	1.2289382	6452807.5	2.7645346	-0.0638646	15.1	0.5245163	151119.6	1018965.6	74730.67
142	7250.8081	-0.0009275	1.2291662	6452794.1	2.7652893	-0.0617471	15.1	0.5419696	151119.6	1033468	74711.61
144	7249.9902	-0.00094	1.2293972	6452780.5	2.7660433	-0.0596297	15.1	0.5245163	151119.6	1047968.8	74692.581
146	7249.1701	-0.0009493	1.2296216	6452766.9	2.7667966	-0.0575123	15.1	0.5419696	151119.6	1062468	74673.587
148	7248.3476	-0.0009614	1.229849	6452753	2.7675493	-0.055395	15.1	0.5285195	151119.6	1076965.5	74654.63
150	7247.5228	-0.0009711	1.2300709	6452739	2.7683014	-0.0532778	15.1	0.5459728	151119.6	1091461.3	74635.706
152	7246.6958	-0.0009836	1.2302959	6452724.8	2.7690528	-0.0511606	15.1	0.5285195	151119.6	1105955.6	74616.815
154	7245.8665	-0.000993	1.2305142	6452710.5	2.7698036	-0.0490435	15.1	0.5459728	151119.6	1120448.1	74597.958
156	7245.0349	-0.0010052	1.2307356	6452696	2.7705537	-0.0469265	15.1	0.5290246	151119.6	1134939	74579.138
158	7244.201	-0.0010143	1.2309504	6452681.4	2.7713032	-0.0448096	15.1	0.5464779	151119.6	1149428.2	74560.356
160	7243.3648	-0.0010263	1.2311684	6452666.6	2.7720521	-0.0426927	15.1	0.5334609	151119.6	1163915.8	74541.614
162	7242.5264	-0.0010359	1.2313809	6452651.7	2.7728004	-0.0405759	15.1	0.5509142	151119.6	1178401.7	74522.908
164	7241.6856	-0.0010484	1.2315966	6452636.6	2.7735481	-0.0384592	15.1	0.5334609	151119.6	1192885.9	74504.237
166	7240.8426	-0.0010577	1.2318056	6452621.3	2.7742952	-0.0363425	15.1	0.5509142	151119.6	1207368.4	74485.6
168	7239.9973	-0.0010698	1.2320177	6452605.9	2.7750417	-0.034226	15.1	0.5334609	151119.6	1221849.2	74467.002
170	7239.1497	-0.0010788	1.2322231	6452590.4	2.7757877	-0.0321095	15.1	0.5509142	151119.6	1236328.4	74448.443
172	7238.2997	-0.0010907	1.2324318	6452574.7	2.776533	-0.0299932	15.1	0.5382573	151119.6	1250805.8	74429.926
174	7237.4476	-0.0011003	1.2326351	6452558.8	2.7772778	-0.0278769	15.1	0.5557106	151119.6	1265281.5	74411.448
176	7236.5931	-0.0011128	1.2328416	6452542.8	2.778022	-0.0257607	15.1	0.5382573	151119.6	1279755.6	74393.004
